Date,C6H6(GT),NOx(GT),NO2(GT),T,CO(GT)
2004-03-10 18:00:00,0.18425196850393702,0.11103588354773188,0.3881118881118881,0.28571428571428575,0.211864406779661
2004-03-10 19:00:00,0.14488188976377953,0.06838185511171292,0.3146853146853147,0.27880184331797236,0.16101694915254236
2004-03-10 20:00:00,0.13858267716535433,0.0873392010832769,0.3916083916083916,0.24654377880184336,0.17796610169491525
2004-03-10 21:00:00,0.14173228346456693,0.11509817197020987,0.4195804195804196,0.22580645161290325,0.17796610169491525
2004-03-10 22:00:00,0.09921259842519685,0.0873392010832769,0.3986013986013986,0.2304147465437788,0.1271186440677966
2004-03-10 23:00:00,0.07086614173228346,0.058903182125930945,0.3286713286713287,0.2304147465437788,0.09322033898305083
2004-03-11 00:00:00,0.05354330708661417,0.04062288422477996,0.26223776223776224,0.23271889400921664,0.09322033898305083
2004-03-11 01:00:00,0.048818897637795275,0.04062288422477996,0.25874125874125875,0.21889400921658986,0.07627118644067796
2004-03-11 02:00:00,0.03307086614173228,0.029113067027758968,0.20279720279720279,0.21889400921658986,0.06779661016949153
2004-03-11 03:00:00,0.023622047244094488,0.012863913337846986,0.11188811188811189,0.20967741935483875,0.0423728813559322
2004-03-11 04:00:00,0.01732283464566929,0.012863913337846986,0.11188811188811189,0.20506912442396313,0.05084745762711864
2004-03-11 05:00:00,0.014173228346456693,0.00947867298578199,0.09090909090909091,0.22580645161290325,0.05084745762711864
2004-03-11 06:00:00,0.02204724409448819,0.021665538253215978,0.16083916083916083,0.2142857142857143,0.05084745762711864
2004-03-11 07:00:00,0.047244094488188976,0.06499661475964792,0.27972027972027974,0.2073732718894009,0.0847457627118644
2004-03-11 08:00:00,0.12283464566929134,0.11645226811103587,0.38461538461538464,0.2211981566820277,0.16101694915254236
2004-03-11 09:00:00,0.14645669291338584,0.0859851049424509,0.34615384615384615,0.2142857142857143,0.17796610169491525
2004-03-11 10:00:00,0.09606299212598425,0.07447528774542991,0.3356643356643357,0.2211981566820277,0.13559322033898302
2004-03-11 11:00:00,0.07559055118110236,0.06296547054840892,0.3146853146853147,0.2142857142857143,0.11864406779661016
2004-03-11 12:00:00,0.07874015748031496,0.06905890318212593,0.3251748251748252,0.1912442396313364,0.1271186440677966
2004-03-11 13:00:00,0.11181102362204724,0.09749492213947189,0.38461538461538464,0.163594470046083,0.15254237288135591
2004-03-11 14:00:00,0.17795275590551182,0.13879485443466485,0.4405594405594406,0.1566820276497696,0.23728813559322032
2004-03-11 15:00:00,0.13543307086614173,0.12322274881516587,0.4335664335664336,0.163594470046083,0.17796610169491525
2004-03-11 16:00:00,0.12755905511811025,0.12931618144888288,0.45104895104895104,0.195852534562212,0.17796610169491525
2004-03-11 17:00:00,0.1732283464566929,0.16316858496953285,0.46503496503496505,0.1981566820276498,0.23728813559322032
2004-03-11 18:00:00,0.32440944881889766,0.1888964116452268,0.520979020979021,0.20967741935483875,0.3983050847457627
2004-03-11 19:00:00,0.4283464566929134,0.25795531482735273,0.5944055944055944,0.195852534562212,0.576271186440678
2004-03-11 20:00:00,0.37480314960629924,0.23628977657413677,0.5699300699300699,0.19354838709677422,0.5084745762711864
2004-03-11 21:00:00,0.1984251968503937,0.16113744075829384,0.46853146853146854,0.18202764976958527,0.3220338983050847
2004-03-11 22:00:00,0.07086614173228346,0.06228842247799594,0.2902097902097902,0.16129032258064516,0.11864406779661016
2004-03-11 23:00:00,0.03779527559055118,0.030467163168584967,0.1783216783216783,0.16129032258064516,0.07627118644067796
2004-03-12 00:00:00,0.08976377952755905,0.08124576844955991,0.3321678321678322,0.163594470046083,0.13559322033898302
2004-03-12 01:00:00,0.09763779527559055,0.08869329722410291,0.37762237762237766,0.14976958525345624,0.15254237288135591
2004-03-12 02:00:00,0.06141732283464567,0.05416384563303995,0.3111888111888112,0.1359447004608295,0.11016949152542371
2004-03-12 03:00:00,0.026771653543307086,0.012863913337846986,0.1048951048951049,0.1336405529953917,0.059322033898305086
2004-03-12 04:00:00,0.014173228346456693,0.012863913337846986,0.1048951048951049,0.11290322580645161,0.0423728813559322
2004-03-12 05:00:00,0.012598425196850394,0.01895734597156398,0.14685314685314685,0.1175115207373272,0.0423728813559322
2004-03-12 06:00:00,0.025196850393700787,0.03656059580230196,0.24125874125874125,0.12903225806451615,0.059322033898305086
2004-03-12 07:00:00,0.06614173228346457,0.07244414353419092,0.35664335664335667,0.11981566820276497,0.11016949152542371
2004-03-12 08:00:00,0.2787401574803149,0.2064996614759648,0.48601398601398604,0.14055299539170507,0.364406779661017
2004-03-12 09:00:00,0.34488188976377954,0.12525389302640488,0.4195804195804196,0.18433179723502305,0.25423728813559326
2004-03-12 10:00:00,0.2173228346456693,0.12525389302640488,0.4195804195804196,0.2764976958525346,0.25423728813559326
2004-03-12 11:00:00,0.1795275590551181,0.14488828706838186,0.493006993006993,0.30184331797235026,0.22033898305084745
2004-03-12 12:00:00,0.15748031496062992,0.09546377792823289,0.3881118881118881,0.31797235023041476,0.1694915254237288
2004-03-12 13:00:00,0.1700787401574803,0.10697359512525388,0.3986013986013986,0.3433179723502305,0.20338983050847456
2004-03-12 14:00:00,0.1984251968503937,0.10900473933649288,0.4230769230769231,0.34792626728110604,0.22033898305084745
2004-03-12 15:00:00,0.2204724409448819,0.12728503723764387,0.4335664335664336,0.3364055299539171,0.23728813559322032
2004-03-12 16:00:00,0.19685039370078738,0.11916046039268788,0.4125874125874126,0.33870967741935487,0.22881355932203387
2004-03-12 17:00:00,0.1811023622047244,0.1002031144211239,0.4090909090909091,0.3617511520737327,0.19491525423728812
2004-03-12 18:00:00,0.3007874015748031,0.13811780636425186,0.513986013986014,0.32027649769585254,0.3220338983050847
2004-03-12 19:00:00,0.2834645669291338,0.13540961408259988,0.5,0.30414746543778803,0.3050847457627119
2004-03-12 20:00:00,0.510236220472441,0.22884224779959378,0.5874125874125874,0.26958525345622125,0.5508474576271186
2004-03-12 21:00:00,0.3133858267716536,0.18415707515233581,0.513986013986014,0.2511520737327189,0.364406779661017
2004-03-12 22:00:00,0.2220472440944882,0.16993906567366282,0.479020979020979,0.22580645161290325,0.288135593220339
2004-03-12 23:00:00,0.3401574803149606,0.2017603249830738,0.46153846153846156,0.195852534562212,0.4491525423728814
2004-03-13 00:00:00,0.14803149606299212,0.12931618144888288,0.3881118881118881,0.1912442396313364,0.22033898305084745
2004-03-13 01:00:00,0.11338582677165354,0.0927555856465809,0.3321678321678322,0.18202764976958527,0.15254237288135591
